"row_name","zip","state","city","lat","lng","cs"
"BIRMINGHAM.AL",35203,"AL","Birmingham",33.520994,-86.806626,"Birmingham AL"
"MOBILE.AL",36602,"AL","Mobile",30.688828,-88.045308,"Mobile AL"
"MONTGOMERY.AL",36104,"AL","Montgomery",32.373037,-86.308129,"Montgomery AL"
"FORT.SMITH.AR",72901,"AR","Fort Smith",35.365272,-94.411035,"Fort Smith AR"
"LITTLE.ROCK.AR",72201,"AR","Little Rock",34.748342,-92.281939,"Little Rock AR"
"LOS.ANGELES.CA",90001,"CA","Los Angeles",33.973093,-118.247896,"Los Angeles CA"
"SACRAMENTO.CA",95814,"CA","Sacramento",38.579792,-121.489404,"Sacramento CA"
"SAN.FRANCISCO.CA",94102,"CA","San Francisco",37.781334,-122.416728,"San Francisco CA"
"DENVER.CO",80202,"CO","Denver",39.749107,-104.994591,"Denver CO"
"PUEBLO.CO",81001,"CO","Pueblo",38.287876,-104.584828,"Pueblo CO"
"BRIDGEPORT.CT",6604,"CT","Bridgeport",41.179574,-73.201859,"Bridgeport CT"
"HARTFORD.CT",6103,"CT","Hartford",41.767196,-72.675966,"Hartford CT"
"NEW.HAVEN.CT",6510,"CT","New Haven",41.308701,-72.92706,"New Haven CT"
"WILMINGTON.DE",19801,"DE","Wilmington",39.737752,-75.549658,"Wilmington DE"
"MIAMI.FL",33122,"FL","Miami",25.7911,-80.320733,"Miami FL"
"TAMPA.FL",33602,"FL","Tampa",27.961381,-82.45972,"Tampa FL"
"ATLANTA.GA",30303,"GA","Atlanta",33.752504,-84.388846,"Atlanta GA"
"BRUNSWICK.GA",31525,"GA","Brunswick",31.230411,-81.511365,"Brunswick GA"
"SAVANNAH.GA",31401,"GA","Savannah",32.067631,-81.102394,"Savannah GA"
"BOISE.ID",83702,"ID","Boise",43.632237,-116.205192,"Boise ID"
"CHICAGO.IL",60601,"IL","Chicago",41.885847,-87.618123,"Chicago IL"
"SPRINGFIELD.IL",62701,"IL","Springfield",39.80004,-89.649531,"Springfield IL"
"FORT.WAYNE.IN",46802,"IN","Fort Wayne",41.070717,-85.15431,"Fort Wayne IN"
"INDIANAPOLIS.IN",46201,"IN","Indianapolis",39.775006,-86.109348,"Indianapolis IN"
"SOUTH.BEND.IN",46601,"IN","South Bend",41.672699,-86.253489,"South Bend IN"
"TERRE.HAUTE.IN",47802,"IN","Terre Haute",39.40697,-87.402019,"Terre Haute IN"
"DAVENPORT.IA",52802,"IA","Davenport",41.516358,-90.61409,"Davenport IA"
"DES.MOINES.IA",50309,"IA","Des Moines",41.588743,-93.621175,"Des Moines IA"
"SIOUX.CITY.IA",51101,"IA","Sioux City",42.497223,-96.40292,"Sioux City IA"
"WATERLOO.IA",50701,"IA","Waterloo",42.477784,-92.366099,"Waterloo IA"
"TOPEKA.KS",66603,"KS","Topeka",39.055344,-95.680212,"Topeka KS"
"WICHITA.KS",67202,"KS","Wichita",37.689945,-97.33551,"Wichita KS"
"COVINGTON.KY",41011,"KY","Covington",39.070839,-84.52121,"Covington KY"
"LEXINGTON.KY",40502,"KY","Lexington",38.017394,-84.485423,"Lexington KY"
"LOUISVILLE.KY",40202,"KY","Louisville",38.250734,-85.747646,"Louisville KY"
"NEW.ORLEANS.LA",70112,"LA","New Orleans",29.960484,-90.075301,"New Orleans LA"
"SHREVEPORT.LA",71101,"LA","Shreveport",32.503743,-93.748696,"Shreveport LA"
"PORTLAND.ME",4101,"ME","Portland",43.660564,-70.258864,"Portland ME"
"BALTIMORE.MD",21201,"MD","Baltimore",39.29463,-76.625203,"Baltimore MD"
"CUMBERLAND.MD",46229,"IN","Cumberland",39.792219,-85.983826,"Cumberland IN"
"FREDERICK.MD",57441,"SD","Frederick",45.849332,-98.517564,"Frederick SD"
"BOSTON.MA",2108,"MA","Boston",42.357603,-71.068432,"Boston MA"
"CAMBRIDGE.MA",2138,"MA","Cambridge",42.377045,-71.125611,"Cambridge MA"
"FALL.RIVER.MA",2720,"MA","Fall River",41.718221,-71.139991,"Fall River MA"
"LOWELL.MA",1850,"MA","Lowell",42.656035,-71.305078,"Lowell MA"
"LYNN.MA",1901,"MA","Lynn",42.463378,-70.945516,"Lynn MA"
"SPRINGFIELD.MA",1103,"MA","Springfield",42.1029,-72.588735,"Springfield MA"
"WORCESTER.MA",1602,"MA","Worcester",42.270251,-71.841678,"Worcester MA"
"DETROIT.MI",48201,"MI","Detroit",42.347429,-83.060398,"Detroit MI"
"FLINT.MI",48502,"MI","Flint",43.012321,-83.687768,"Flint MI"
"GRAND.RAPIDS.MI",49503,"MI","Grand Rapids",42.965879,-85.65273,"Grand Rapids MI"
"DULUTH.MN",55801,"MN","Duluth",47.094431,-91.846731,"Duluth MN"
"MINNEAPOLIS.MN",55401,"MN","Minneapolis",44.983473,-93.268251,"Minneapolis MN"
"ST.PAUL.MN",56479,"MN","Staples",46.353552,-94.763299,"Staples MN"
"KANSAS.CITY.MO",64101,"MO","Kansas City",39.10005,-94.601849,"Kansas City MO"
"ST.JOSEPH.MO",64501,"MO","Saint Joseph",39.768755,-94.838488,"Saint Joseph MO"
"ST.LOUIS.MO",65283,"MO","Stoutsville",39.559425,-91.829661,"Stoutsville MO"
"BILLINGS.MT",59101,"MT","Billings",45.774489,-108.500452,"Billings MT"
"GREAT.FALLS.MT",59401,"MT","Great Falls",47.509812,-111.273397,"Great Falls MT"
"HELENA.MT",59601,"MT","Helena",46.613066,-112.021283,"Helena MT"
"MISSOULA.MT",59801,"MT","Missoula",46.856274,-114.025207,"Missoula MT"
"OMAHA.NE",68102,"NE","Omaha",41.258961,-95.940909,"Omaha NE"
"CONCORD.NH",3301,"NH","Concord",43.218525,-71.527734,"Concord NH"
"MANCHESTER.NH",3101,"NH","Manchester",42.992858,-71.463255,"Manchester NH"
"CAMDEN.NJ",8102,"NJ","Camden",39.951244,-75.118644,"Camden NJ"
"NEWARK.NJ",7102,"NJ","Newark",40.73201,-74.176505,"Newark NJ"
"TRENTON.NJ",8608,"NJ","Trenton",40.220437,-74.762237,"Trenton NJ"
"ALBUQUERQUE.NM",87102,"NM","Albuquerque",35.081831,-106.648171,"Albuquerque NM"
"BUFFALO.NY",14201,"NY","Buffalo",42.896659,-78.884575,"Buffalo NY"
"NEW.YORK.NY",10001,"NY","New York",40.74838,-73.996705,"New York NY"
"ROCHESTER.NY",14604,"NY","Rochester",43.157729,-77.607978,"Rochester NY"
"SYEARACUSE.NY",13202,"NY","Syracuse",43.040988,-76.148856,"Syracuse NY"
"RALEIGH.NC",27601,"NC","Raleigh",35.772701,-78.632439,"Raleigh NC"
"WILMINGTON.NC",28403,"NC","Wilmington",34.223653,-77.886213,"Wilmington NC"
"WINSTON.SALEM.NC",27101,"NC","Winston Salem",36.10237,-80.222798,"Winston Salem NC"
"FARGO.ND",58103,"ND","Fargo",46.856406,-96.812252,"Fargo ND"
"GRAND.FORKS.ND",58201,"ND","Grand Forks",47.901041,-97.04463,"Grand Forks ND"
"CINCINNATI.OH",45202,"OH","Cincinnati",39.107225,-84.501956,"Cincinnati OH"
"CLEVELAND.OH",44102,"OH","Cleveland",41.473508,-81.739791,"Cleveland OH"
"COLUMBUS.OH",43201,"OH","Columbus",39.995157,-83.004732,"Columbus OH"
"TOLEDO.OH",43602,"OH","Toledo",41.647984,-83.554747,"Toledo OH"
"OKLAHOMA.CITY.OK",73102,"OK","Oklahoma City",35.472601,-97.519926,"Oklahoma City OK"
"PORTLAND.OR",97201,"OR","Portland",45.498819,-122.690258,"Portland OR"
"PHILADELPHIA.PA",19102,"PA","Philadelphia",39.948908,-75.166109,"Philadelphia PA"
"PITTSBURGH.PA",3592,"NH","Pittsburg",45.086564,-71.363593,"Pittsburg NH"
"READING.PA",19601,"PA","Reading",40.346621,-75.935132,"Reading PA"
"SCRANTON.PA",18503,"PA","Scranton",41.409517,-75.664205,"Scranton PA"
"WILKES.BARRE.PA",18701,"PA","Wilkes Barre",41.244892,-75.884063,"Wilkes Barre PA"
"PAWTUCKET.RI",2860,"RI","Pawtucket",41.872873,-71.390713,"Pawtucket RI"
"PROVIDENCE.RI",2903,"RI","Providence",41.820002,-71.415801,"Providence RI"
"CHARLESTON.SC",29401,"SC","Charleston",32.779506,-79.937069,"Charleston SC"
"COLUMBIA.SC",29201,"SC","Columbia",34.0004,-81.033418,"Columbia SC"
"GREENVILLE.SC",29601,"SC","Greenville",34.847165,-82.406049,"Greenville SC"
"MEMPHIS.TN",38103,"TN","Memphis",35.144001,-90.047995,"Memphis TN"
"NASHVILLE.TN",37201,"TN","Nashville",36.167028,-86.778441,"Nashville TN"
"DALLAS.TX",75201,"TX","Dallas",32.790439,-96.80439,"Dallas TX"
"FORT.WORTH.TX",76102,"TX","Fort Worth",32.758897,-97.328023,"Fort Worth TX"
"GALVESTON.TX",77550,"TX","Galveston",29.298272,-94.79297,"Galveston TX"
"HOUSTON.TX",77002,"TX","Houston",29.759366,-95.359361,"Houston TX"
"SAN.ANTONIO.TX",78202,"TX","San Antonio",29.427462,-98.460112,"San Antonio TX"
"SALT.LAKE.CITY.UT",84101,"UT","Salt Lake City",40.755851,-111.896657,"Salt Lake City UT"
"BARRE.VT",5641,"VT","Barre",44.194522,-72.493619,"Barre VT"
"BURLINGTON.VT",5401,"VT","Burlington",44.484023,-73.219875,"Burlington VT"
"LYNCHBURG.VA",24501,"VA","Lynchburg",37.386228,-79.171464,"Lynchburg VA"
"NORFOLK.VA",23502,"VA","Norfolk",36.854648,-76.214253,"Norfolk VA"
"RICHMOND.VA",23219,"VA","Richmond",37.546265,-77.437798,"Richmond VA"
"ROANOKE.VA",24011,"VA","Roanoke",37.268997,-79.942019,"Roanoke VA"
"SEATTLE.WA",98101,"WA","Seattle",47.611435,-122.330456,"Seattle WA"
"SPOKANE.WA",99201,"WA","Spokane",47.666485,-117.436527,"Spokane WA"
